freq,siec,indic_nrgm,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,E7000,CMPY_EG5,PC,IT	46.000 	42.000 	40.000 	39.000 	35.000 	33.000 	31.000 	30.000 	32.000 	33.000 	33.000 	: 
A,E7000,CMPY_EG5,PC,LT	69.020 	65.500 	63.210 	48.860 	40.680 	39.180 	38.770 	43.600 	44.660 	34.220 	21.170 	: 
A,E7000,CMPY_EG5,PC,LU	73.860 	70.330 	68.960 	50.390 	48.940 	48.090 	57.860 	57.320 	53.250 	50.450 	23.930 	: 
A,E7000,CMPY_EG5,PC,LV	79.800 	54.800 	57.420 	58.550 	47.050 	63.390 	66.610 	57.070 	62.010 	62.730 	71.940 	: 
A,E7000,CMPY_EG5,PC,MD	99.110 	97.560 	97.560 	92.840 	92.550 	89.890 	88.190 	87.900 	86.330 	91.000 	89.000 	: 
A,E7000,CMPY_EG5,PC,ME	99.360 	99.210 	98.590 	97.670 	95.960 	92.950 	96.980 	92.940 	91.700 	90.240 	86.350 	: 
A,E7000,CMPY_EG5,PC,MK	96.000 	91.400 	89.800 	91.700 	93.160 	96.513 	93.150 	91.880 	90.400 	95.142 	89.995 	80.655 
A,E7000,CMPY_EG5,PC,MT	100.000 	100.000 	100.000 	100.000 	: 	: 	: 	: 	: 	: 	0.000 	: 
A,E7000,CMPY_EG5,PC,NL	58.000 	60.000 	62.000 	56.000 	52.000 	49.000 	52.000 	43.000 	41.000 	41.000 	30.000 	: 
A,E7000,CMPY_EG5,PC,PL	36.930 	36.910 	25.480 	29.920 	30.250 	32.790 	34.720 	35.690 	41.350 	38.180 	34.460 	: 
A,E7000,CMPY_EG5,PC,PT	61.700 	64.200 	63.600 	71.200 	70.400 	69.500 	63.220 	65.680 	63.380 	66.910 	59.440 	: 
A,E7000,CMPY_EG5,PC,RO	76.120 	67.550 	65.130 	65.830 	63.360 	72.450 	71.770 	69.335 	72.350 	70.100 	63.355 	: 
A,E7000,CMPY_EG5,PC,RS	99.300 	99.100 	99.240 	98.900 	98.550 	97.920 	96.120 	97.400 	95.030 	94.020 	92.110 	: 
A,E7000,CMPY_EG5,PC,SE	62.370 	69.600 	70.680 	67.350 	65.930 	67.500 	65.240 	64.550 	59.780 	61.890 	56.130 	: 
A,E7000,CMPY_EG5,PC,SI	94.500 	93.340 	92.300 	94.300 	92.000 	91.970 	92.040 	92.560 	93.620 	93.240 	92.807 	: 
A,E7000,CMPY_EG5,PC,SK	83.760 	81.850 	79.500 	80.490 	79.820 	78.080 	80.340 	79.820 	79.380 	77.730 	81.450 	: 
