geo,year,pop
EFTA,2021,14469516.0
EFTA,2022,14579617.0
EFTA,2023,14731804.0
EL,2013,10980006.0
EL,2014,10894294.0
EL,2015,10818041.0
EL,2016,10735415.0
EL,2017,10707527.0
EL,2018,10667336.0
EL,2019,10635213.0
EL,2020,10612591.0
EL,2021,10555344.0
EL,2022,10461627.0
EL,2023,10401868.0
ES,2013,46712650.0
ES,2014,46495744.0
ES,2015,46425722.0
ES,2016,46418884.0
ES,2017,46497393.0
ES,2018,46645070.0
ES,2019,46918951.0
ES,2020,47318050.0
ES,2021,47400798.0
ES,2022,47486843.0
ES,2023,48085361.0
EU27_2007,2013,501397469.0
EU27_2007,2015,503597343.0
EU27_2007,2016,505251197.0
EU27_2007,2017,506435978.0
EU27_2007,2018,507560611.0
EU27_2007,2019,508828360.0
EU27_2007,2020,510122055.0
EU27_2020,2013,441739930.0
EU27_2020,2014,442268078.0
EU27_2020,2015,442924865.0
EU27_2020,2016,444003268.0
EU27_2020,2017,444670605.0
EU27_2020,2018,445301376.0
EU27_2020,2019,446149924.0
EU27_2020,2020,447030024.0
EU27_2020,2021,445891011.0
EU27_2020,2022,445972024.0
EU27_2020,2023,447695350.0
EU28,2013,505645272.0
EU28,2015,507778258.0
EU28,2016,509382312.0
EU28,2017,510514747.0
EU28,2018,511574952.0
EU28,2019,512797036.0
EU28,2020,514055566.0
FI,2013,5426674.0
FI,2014,5451270.0
FI,2015,5471753.0
FI,2016,5487308.0
FI,2017,5503297.0
FI,2018,5513130.0
FI,2019,5517919.0
FI,2020,5525292.0
FI,2021,5533793.0
FI,2022,5548241.0
FI,2023,5563970.0
FR,2013,65600350.0
FR,2014,66165980.0
FR,2015,66458153.0
FR,2016,66638391.0
FR,2017,66809816.0
FR,2018,67026224.0
FR,2019,67290471.0
FR,2020,67473651.0
FR,2021,67728568.0
FR,2022,68091703.0
FR,2023,68277210.0
FX,2013,63697865.0
GE,2014,4490498.0
GE,2015,3729500.0
GE,2016,3720400.0
GE,2017,3718200.0
GE,2018,3729633.0
GE,2019,3723464.0
GE,2020,3716858.0
GE,2021,3728573.0
GE,2022,3688647.0
GE,2023,3736357.0
HR,2013,4247803.0
HR,2014,4217632.0
HR,2015,4180915.0
HR,2016,4131115.0
HR,2017,4078769.0
HR,2018,4014341.0
HR,2019,3968676.0
HR,2020,3933511.0
HR,2021,3893026.0
HR,2022,3862305.0
HR,2023,3850894.0
HU,2013,9895250.0
HU,2014,9850217.0
HU,2015,9815858.0
HU,2016,9779652.0
HU,2017,9739857.0
HU,2018,9713655.0
HU,2019,9700272.0
HU,2020,9689376.0
HU,2021,9651461.0
HU,2022,9610403.0
HU,2023,9599744.0
IE,2013,4609779.0
IE,2014,4637852.0
IE,2015,4677627.0
IE,2016,4726286.0
IE,2017,4799157.0
IE,2018,4855733.0
IE,2019,4940311.0
IE,2020,5012600.0
IE,2021,5066893.0
IE,2022,5154277.0
IE,2023,5271395.0
IS,2013,321857.0
IS,2014,325671.0
IS,2015,329100.0
IS,2016,332529.0
IS,2017,338349.0
IS,2018,348450.0
IS,2019,356991.0
IS,2020,364134.0
IS,2021,368792.0
IS,2022,376248.0
IS,2023,387758.0
IT,2013,60277309.0
IT,2014,60345917.0
IT,2015,60295497.0
IT,2016,60163712.0
IT,2017,60066734.0
IT,2018,59937769.0
IT,2019,59816673.0
IT,2020,59641488.0
IT,2021,59236213.0
IT,2022,59030133.0
IT,2023,58997201.0
LI,2013,36838.0
LI,2014,37129.0
LI,2015,37366.0
LI,2016,37622.0
LI,2017,37810.0
LI,2018,38114.0
LI,2019,38378.0
LI,2020,38747.0
LI,2021,39055.0
LI,2022,39308.0
LI,2023,39677.0
LT,2013,2974637.0
LT,2014,2947862.0
LT,2015,2926644.0
LT,2016,2895573.0
LT,2017,2859077.0
LT,2018,2826200.0
LT,2019,2812200.0
LT,2020,2809977.0
LT,2021,2810761.0
LT,2022,2805998.0
LT,2023,2857279.0
LU,2013,537039.0
LU,2014,549680.0
LU,2015,562958.0
LU,2016,576249.0
LU,2017,590667.0
LU,2018,602005.0
LU,2019,613894.0
LU,2020,626108.0
LU,2021,634730.0
LU,2022,645397.0
LU,2023,660809.0
LV,2013,2023825.0
LV,2014,2001468.0
LV,2015,1986096.0
LV,2016,1968957.0
LV,2017,1950116.0
LV,2018,1934379.0
LV,2019,1919968.0
LV,2020,1907675.0
LV,2021,1893223.0
LV,2022,1875757.0
LV,2023,1895239.0
MD,2013,3559497.0
MD,2014,2869302.0
MD,2015,2869302.0
MD,2016,2846327.0
MD,2017,2825628.0
MD,2018,2780744.0
MD,2019,2729634.0
MD,2020,2684772.0
MD,2021,2643675.0
MD,2022,2565030.0
MD,2023,2512758.0
ME,2013,620893.0
ME,2014,621521.0
ME,2015,622099.0
ME,2016,622218.0
ME,2017,622387.0
ME,2018,622359.0
ME,2019,622182.0
ME,2020,621873.0
ME,2021,620739.0
ME,2022,617683.0
ME,2023,616695.0
MK,2013,2062294.0
MK,2014,2065769.0
MK,2015,2069172.0
MK,2016,2071278.0
MK,2017,2073702.0
MK,2018,2075301.0
MK,2019,2077132.0
MK,2020,2076255.0
MK,2021,2068808.0
MK,2022,1837114.0
MK,2023,1829954.0
MT,2013,421464.0
MT,2014,428156.0
MT,2015,438805.0
MT,2016,449635.0
MT,2017,459375.0
MT,2018,474837.0
MT,2019,492968.0
MT,2020,514855.0
MT,2021,516125.0
MT,2022,520174.0
MT,2023,542051.0
NL,2013,16779575.0
NL,2014,16829289.0
NL,2015,16900726.0
NL,2016,16979120.0
NL,2017,17081507.0
NL,2018,17181084.0
NL,2019,17282163.0
NL,2020,17407585.0
NL,2021,17475415.0
NL,2022,17590672.0
NL,2023,17811291.0
NO,2013,5051275.0
NO,2014,5109056.0
NO,2015,5165802.0
NO,2016,5213985.0
NO,2017,5258317.0
NO,2018,5295619.0
NO,2019,5328212.0
NO,2020,5367580.0
NO,2021,5391369.0
NO,2022,5425270.0
NO,2023,5488984.0
PL,2013,38062535.0
PL,2014,38017856.0
PL,2015,38005614.0
PL,2016,37967209.0
PL,2017,37972964.0
PL,2018,37976687.0
PL,2019,37972812.0
PL,2020,37958138.0
PL,2021,37073357.0
PL,2022,36889761.0
PL,2023,36753736.0
PT,2013,10503889.0
PT,2014,10444092.0
PT,2015,10395121.0
PT,2016,10368554.0
PT,2017,10344478.0
PT,2018,10335770.0
PT,2019,10333496.0
PT,2020,10375395.0
PT,2021,10394297.0
PT,2022,10421117.0
PT,2023,10516621.0
RO,2013,20020074.0
RO,2014,19947311.0
RO,2015,19870647.0
RO,2016,19760585.0
RO,2017,19643949.0
RO,2018,19533481.0
RO,2019,19414458.0
RO,2020,19328838.0
RO,2021,19201662.0
RO,2022,19043098.0
RO,2023,19055228.0
RS,2013,7181505.0
RS,2014,7146759.0
RS,2015,7114393.0
RS,2016,7076372.0
RS,2017,7040272.0
RS,2018,7001444.0
RS,2019,6963764.0
RS,2020,6926705.0
RS,2021,6871547.0
RS,2022,6797105.0
RS,2023,6641197.0
RU,2014,143666931.0
SE,2013,9555893.0
SE,2014,9644864.0
SE,2015,9747355.0
SE,2016,9851017.0
SE,2017,9995153.0
SE,2018,10120242.0
SE,2019,10230185.0
SE,2020,10327589.0
SE,2021,10379295.0
SE,2022,10452326.0
SE,2023,10521556.0
SI,2013,2058821.0
SI,2014,2061085.0
SI,2015,2062874.0
SI,2016,2064188.0
SI,2017,2065895.0
SI,2018,2066880.0
SI,2019,2080908.0
SI,2020,2095861.0
SI,2021,2108977.0
SI,2022,2107180.0
SI,2023,2116972.0
SK,2013,5410836.0
SK,2014,5415949.0
SK,2015,5421349.0
SK,2016,5426252.0
SK,2017,5435343.0
SK,2018,5443120.0
SK,2019,5450421.0
SK,2020,5457873.0
SK,2021,5459781.0
SK,2022,5434712.0
SK,2023,5428792.0
SM,2013,33562.0
SM,2018,34453.0
TR,2013,75627384.0
TR,2014,76667864.0
TR,2015,77695904.0
TR,2016,78741053.0
TR,2017,79814871.0
TR,2018,80810525.0
TR,2019,82003882.0
TR,2020,83154997.0
TR,2021,83614362.0
TR,2022,84680273.0
TR,2023,85279553.0
UA,2013,45372692.0
UA,2014,45245894.0
UA,2015,42759661.0
UA,2016,42590879.0
UA,2017,42414905.0
UA,2018,42216766.0
UA,2019,41983564.0
UA,2020,41732779.0
UA,2021,41418717.0
UA,2022,40997698.0
UK,2013,63905342.0
UK,2014,64351203.0
UK,2015,64853393.0
UK,2016,65379044.0
UK,2017,65844142.0
UK,2018,66273576.0
UK,2019,66647112.0
UK,2020,67025542.0
XK,2016,1771604.0
XK,2017,1783531.0
XK,2018,1798506.0
XK,2019,1795666.0
XK,2020,1782115.0
XK,2021,1798186.0
XK,2022,1773971.0
